# RA_centre: 236.100
# Dec_centre: -1.648
 RA         Dec      P_*  Hmag
 236.09192  -1.64193 1.00 20.317
 236.09302  -1.64217 1.00 19.121
 236.09380  -1.64739 1.00 18.043
 236.09610  -1.64458 1.00 17.445
 236.09772  -1.65169 1.00 17.444
 236.09888  -1.64933 1.00 17.926
 236.09937  -1.65140 0.00 18.779
 236.09956  -1.65362 0.00 18.570
 236.10069  -1.64461 0.95 19.244
 236.10091  -1.65145 0.00 19.383
 236.10239  -1.64474 0.95 19.137
 236.10329  -1.65492 1.00 19.748
 236.10379  -1.65045 1.00 18.959
 236.10602  -1.64426 1.00 18.968
 236.10629  -1.65493 1.00 19.162
 236.09615  -1.64217 0.00 19.140
 236.10226  -1.64200 0.00 19.228
 236.10057  -1.65443 1.00 23.540
 236.10144  -1.64841 1.00 21.640
 236.10637  -1.65459 1.00 31.384
 236.10623  -1.64690 1.00 27.113
 236.10663  -1.65221 1.00 30.259
 236.10005  -1.64136 1.00 25.130
 236.10023  -1.64272 1.00 31.934
 236.09579  -1.65087 1.00 23.652
 236.10555  -1.65342 1.00 21.208
 236.09406  -1.64384 1.00 31.937
 236.09172  -1.64161 1.00 25.516
 236.09505  -1.65032 1.00 21.906
 236.10527  -1.65264 1.00 30.799
 236.09421  -1.64488 1.00 19.484
 236.09984  -1.65276 1.00 28.576
 236.09930  -1.64792 1.00 31.024
 236.10115  -1.65466 1.00 20.269
 236.09686  -1.64643 1.00 23.829
 236.09726  -1.65188 1.00 23.744
 236.10329  -1.64945 1.00 31.351
 236.10403  -1.64846 1.00 23.136
 236.09583  -1.65357 1.00 23.068
 236.10088  -1.65500 1.00 22.713
 236.09389  -1.65504 1.00 31.287
 236.09990  -1.64859 1.00 22.624
