# description : Spectral line list for MICADO calibration lamp extracted from NIST
# author : Joshua Jost
# source : NIST spectral database
# date_created : 
# date_modified : 2022-08-31
# wavelength_unit : nm
#
# changes :
# - 2022-08-31 (KL) Added meta data header to file. Replaced commas with decimal points
Lamp        Wavelength  Relative_Intensity
Xenon       1510.3800   100.0
Neon        1514.4236   350.0
Argon       1517.6840   25.0
Neon        1519.5083   270.0
Krypton     1521.3700   10.0
Neon        1523.4877   5300.0
Krypton     1524.3787   160.0
Krypton     1533.0670   12.0
Argon       1533.3530   10.0
Krypton     1533.9158   200.0
Krypton     1537.6242   725.0
Neon        1541.1803   250.0
Xenon       1542.2220   110.0
Krypton     1547.8261   150.0
Xenon       1549.5200   45.0
Xenon       1556.1400   150.0
Krypton     1568.5280   24.0
Krypton     1582.4412   105.0
Xenon       1598.3900   250.0
Argon       1599.3860   30.0
Xenon       1604.4300   100.0
Neon        1627.3400   63.0
Krypton     1631.9715   50.0
Argon       1652.4370   30.0
Xenon       1655.9000   125.0
Krypton     1673.1100   77.0
Xenon       1673.2727   5000.0
Xenon       1675.0295   46.0
Krypton     1678.9718   320.0
Krypton     1685.8102   170.0
Xenon       1688.7690   38.0
Krypton     1689.5067   340.0
Krypton     1690.1380   400.0
Krypton     1694.0439   280.0
Argon       1694.5210   500.0
Krypton     1710.3450   87.0
Neon        1716.6622   1800.0
Xenon       1733.0530   1650.0
Krypton     1737.2357   110.0
Krypton     1740.9190   12.0
Xenon       1748.7746   42.0
Krypton     1762.1650   35.0
Krypton     1784.7617   950.0
Krypton     1800.7146   1200.0
Neon        1804.0737   1900.0
Neon        1808.8119   4500.0
Krypton     1810.4380   72.0
Krypton     1817.2288   940.0
Neon        1828.1632   14000.0
Neon        1828.7606   10000.0
Neon        1830.8966   6800.0
Neon        1836.4108   1900.0
Neon        1838.9846   6400.0
Neon        1839.4958   8600.0
Neon        1840.7861   3900.0
Neon        1842.7432   6300.0
Neon        1846.3681   1300.0
Neon        1848.0845   4100.0
Krypton     1858.5960   270.0
Neon        1859.6617   6900.0
Neon        1860.2776   9500.0
Neon        1868.7339   130.0
Krypton     1870.1411   380.0
Krypton     1879.0610   180.0
Krypton     1879.2860   10.0
Xenon       1879.3276   860.0
Krypton     1880.2840   360.0
Neon        1894.2723   150.0
Neon        1957.9094   260.0
Neon        1958.2455   790.0
Neon        1977.7860   32.0
Xenon       2019.2711   80.0
Krypton     2021.5410   61.0
Xenon       2026.7774   2300.0
Xenon       2028.7972   10.0
Neon        2035.5771   630.0
Neon        2035.9404   43.0
Argon       2062.1860   50.0
Argon       2099.1840   30.0
Neon        2104.7013   2700.0
Krypton     2117.1300   90.0
Xenon       2137.8892   26.0
Neon        2142.0939   30.0
Neon        2142.7883   46.0
Xenon       2147.5961   140.0
Neon        2150.9615   90.0
Neon        2158.2413   34.0
Neon        2158.5760   32.0
Neon        2171.4039   2900.0
Krypton     2190.8510   1300.0
Neon        2217.7292   78.0
Neon        2225.3432   1300.0
Xenon       2227.5900   60.0
Xenon       2239.2500   40.0
Xenon       2241.2900   75.0
Neon        2243.4265   1300.0
Neon        2247.2920   540.0
Krypton     2249.1900   71.0
Neon        2253.6528   8500.0
Xenon       2262.4500   90.0
Neon        2266.7971   1300.0
Neon        2269.3959   210.0
Xenon       2297.1100   40.0
Xenon       2307.9800   45.0
Neon        2310.6784   2500.0
Argon       2313.9510   20.0
Xenon       2319.8000   10.0
Xenon       2325.9100   35.0
Neon        2326.6619   3800.0
Xenon       2328.5900   110.0
Krypton     2334.6790   120.0
Neon        2337.9343   5000.0
Krypton     2350.8900   39.0
Neon        2357.1764   3400.0
Neon        2364.2934   17000.0
Neon        2370.8130   1200.0
Neon        2371.5599   5900.0
Xenon       2380.3000   60.0
Neon        2391.8541   170.0
Neon        2395.7931   11000.0
Neon        2396.2964   4600.0
Argon       2397.3060   20.0
Neon        2397.8372   220.0
Neon        2398.4701   6000.0
Neon        2410.5148   1100.0
Neon        2415.6486   210.0
Neon        2416.8025   2000.0
Neon        2422.5535   140.0
Neon        2425.6224   2800.0
Krypton     2426.7180   70.0
Krypton     2429.8900   110.0
Neon        2431.6420   38.0
Neon        2437.1661   7400.0
Neon        2437.8260   3800.0
Neon        2439.0011   360.0
Xenon       2445.0300   70.0
Neon        2445.4531   1900.0
Neon        2445.9775   240.0
Neon        2446.6068   3300.0
Neon        2447.1606   370.0
Neon        2453.2498   55.0
Xenon       2470.9000   60.0
Krypton     2477.5390   24.0
Neon        2478.3248   1700.0
Xenon       2483.2200   20.0
Neon        2491.0521   780.0
Neon        2493.5696   2900.0
Neon        2500.6628   170.0
Xenon       2515.2800   175.0
Xenon       2516.6300   60.0
Neon        2516.8567   1300.0
Neon        2523.4824   300.0
Krypton     2524.0750   150.0
Neon        2528.4125   100.0
Neon        2540.0128   280.0
Xenon       2541.9700   45.0
Neon        2553.1295   4600.0
Neon        2579.4008   85.0
Krypton     2585.5940   11.0

